window_index,loss,forward_ms,teacher_ms,overhead_ms,total_ms,embedding_norm_mean,embedding_norm_std,teacher_norm_mean,teacher_norm_std,prediction_variance,total_spikes,spike_rate,synaptic_events,energy_proxy
0,0.017401067540049553,2.988249994814396,0.0,0.0004169996827840805,2.98866699449718,0.8765718936920166,0.24562127888202667,0.7213677167892456,0.008843007497489452,0.004844293929636478,nan,nan,nan,nan
1,0.01027335599064827,2.9620418790727854,0.0,0.0004172325134277344,2.962459111586213,0.708247184753418,0.04867882654070854,0.7082504034042358,0.007156640291213989,0.004856216721236706,nan,nan,nan,nan
2,0.005550451576709747,2.9497500509023666,0.0,0.00045797787606716156,2.950208028778434,0.6988801956176758,0.04530300572514534,0.7005714178085327,0.00257585640065372,0.004866838455200195,nan,nan,nan,nan
3,0.006286906078457832,2.9700000304728746,0.0,0.00041583552956581116,2.9704158660024405,0.6964406967163086,0.04503864049911499,0.7012604475021362,0.006536430679261684,0.004866075236350298,nan,nan,nan,nan
4,0.005951900966465473,2.9506669379770756,0.0,0.000416068360209465,2.951083006337285,0.693848192691803,0.043482210487127304,0.6910699605941772,0.0034710189793258905,0.00486493157222867,nan,nan,nan,nan
5,0.007925814017653465,2.9465830884873867,0.0,0.0004998873919248581,2.9470829758793116,0.682819128036499,0.042560502886772156,0.6909423470497131,0.003925589378923178,0.004874743055552244,nan,nan,nan,nan
6,0.049133241176605225,2.9730829410254955,0.0,0.0005420297384262085,2.9736249707639217,0.6983193755149841,0.05679725110530853,0.7446599006652832,0.01733686774969101,0.0048730457201600075,nan,nan,nan,nan
7,0.03263353928923607,2.9469579458236694,0.0,0.00045797787606716156,2.9474159236997366,0.7217721939086914,0.057174183428287506,0.6899741888046265,0.005378693342208862,0.004862516187131405,nan,nan,nan,nan
8,0.005391158629208803,2.9444999527186155,0.0,0.00045797787606716156,2.9449579305946827,0.6881754994392395,0.040830209851264954,0.7006036043167114,0.003169063711538911,0.0048863026313483715,nan,nan,nan,nan
9,0.00435261707752943,2.9802918434143066,0.0,0.000500120222568512,2.980791963636875,0.6926327347755432,0.04473664239048958,0.6990698575973511,0.00486952206119895,0.00486869178712368,nan,nan,nan,nan
10,0.023415617644786835,2.9507919680327177,0.0,0.00045821070671081543,2.9512501787394285,0.6932656168937683,0.04423283785581589,0.7068982720375061,0.011481329798698425,0.00486663356423378,nan,nan,nan,nan
11,0.008595945313572884,2.9417499899864197,0.0,0.0004591420292854309,2.942209132015705,0.6948439478874207,0.0461149662733078,0.6888728737831116,0.00713537260890007,0.004866694565862417,nan,nan,nan,nan
12,0.005657449830323458,2.945458050817251,0.0,0.00045797787606716156,2.9459160286933184,0.6848716735839844,0.04257941246032715,0.6875078678131104,0.001137597137130797,0.004873824771493673,nan,nan,nan,nan
13,0.0038549592718482018,2.9612500220537186,0.0,0.0003748573362827301,2.9616248793900013,0.6827109456062317,0.04406506195664406,0.7000308632850647,0.00472211092710495,0.004877092316746712,nan,nan,nan,nan
14,0.1394263356924057,2.9623329173773527,0.0,0.0004591420292854309,2.962792059406638,0.6895151138305664,0.044144175946712494,0.7616434693336487,0.13894881308078766,0.004865407012403011,nan,nan,nan,nan
15,0.03588428348302841,2.945750020444393,0.0,0.0004998873919248581,2.946249907836318,0.9718300700187683,0.16386249661445618,0.7023083567619324,0.016045724973082542,0.004819618072360754,nan,nan,nan,nan
16,0.01700044423341751,2.9424589592963457,0.0,0.00045821070671081543,2.9429171700030565,0.7204306721687317,0.05174720659852028,0.7204082012176514,0.01577449031174183,0.004886887967586517,nan,nan,nan,nan
17,0.006405774969607592,2.950832946226001,0.0,0.00045797787606716156,2.951290924102068,0.7092371582984924,0.051347456872463226,0.7007335424423218,0.010726163163781166,0.004867942538112402,nan,nan,nan,nan
18,0.00978929828852415,2.9414580203592777,0.0,0.0004591420292854309,2.941917162388563,0.6975696682929993,0.043775640428066254,0.6869378089904785,0.0019814972765743732,0.004867243580520153,nan,nan,nan,nan
19,0.004058029502630234,3.0664170626550913,0.0,0.0005408655852079391,3.0669579282402992,0.6798994541168213,0.04284131899476051,0.6908648014068604,0.004551565740257502,0.004877092316746712,nan,nan,nan,nan
20,0.011884443461894989,3.0482090078294277,0.0,0.00041583552956581116,3.0486248433589935,0.6852245330810547,0.04464292898774147,0.7112221717834473,0.0038429878186434507,0.004869864787906408,nan,nan,nan,nan
21,0.018127258867025375,3.0168339144438505,0.0,0.0003739260137081146,3.0172078404575586,0.6949830651283264,0.04638972878456116,0.6854137182235718,0.00449035968631506,0.004867339041084051,nan,nan,nan,nan
22,0.036429714411497116,2.9751250986009836,0.0,0.0004577450454235077,2.975582843646407,0.6857526302337646,0.04266567900776863,0.7201681137084961,0.017423689365386963,0.004874959588050842,nan,nan,nan,nan
23,0.01221042312681675,2.9966251458972692,0.0,0.0005830079317092896,2.9972081538289785,0.7020926475524902,0.049686089158058167,0.6976137161254883,0.01048243883997202,0.004870389122515917,nan,nan,nan,nan
24,0.014508653432130814,2.971542067825794,0.0,0.0004169996827840805,2.9719590675085783,0.6909737586975098,0.04435555264353752,0.696625828742981,0.009556525386869907,0.004877686500549316,nan,nan,nan,nan
25,0.0158938467502594,3.0209170654416084,0.0,0.00045797787606716156,3.0213750433176756,0.6932960152626038,0.049434762448072433,0.7186192870140076,0.004916305188089609,0.004872848279774189,nan,nan,nan,nan
26,0.03710850328207016,2.9701669700443745,0.0,0.000416068360209465,2.970583038404584,0.7024590969085693,0.046577781438827515,0.7132320404052734,0.025475483387708664,0.004863440059125423,nan,nan,nan,nan
27,0.00413675419986248,3.003415884450078,0.0,0.0004591420292854309,3.0038750264793634,0.6956842541694641,0.046989694237709045,0.6902203559875488,0.0034816008992493153,0.004878014791756868,nan,nan,nan,nan
28,0.05095047503709793,2.9520841781049967,0.0,0.0004577450454235077,2.95254192315042,1.445188045501709,0.6682462096214294,0.6964424848556519,0.0038879981730133295,0.004860683344304562,nan,nan,nan,nan
29,0.008892200887203217,2.9439169447869062,0.0,0.000416068360209465,2.9443330131471157,0.6894121170043945,0.03887740895152092,0.704375684261322,0.0075429584830999374,0.004896057769656181,nan,nan,nan,nan
30,0.04766519367694855,3.017749870195985,0.0,0.00037509016692638397,3.0181249603629112,0.7151362895965576,0.06290631741285324,0.7326366901397705,0.03890755772590637,0.004864541348069906,nan,nan,nan,nan
31,0.07357282936573029,2.9765411745756865,0.0,0.00037462450563907623,2.9769157990813255,0.733416736125946,0.057320259511470795,0.7110832929611206,0.013499932363629341,0.004864770453423262,nan,nan,nan,nan
32,0.2098192572593689,3.0038750264793634,0.0,0.00045890919864177704,3.004333935678005,0.702150821685791,0.04940300062298775,0.8713682889938354,0.07865806668996811,0.004897421225905418,nan,nan,nan,nan
33,0.10942389070987701,2.9942498076707125,0.0,0.000416068360209465,2.994665876030922,0.8101418614387512,0.13122139871120453,0.7359050512313843,0.01585519127547741,0.004839438945055008,nan,nan,nan,nan
34,0.026726096868515015,3.0034170486032963,0.0,0.00033294782042503357,3.0037499964237213,0.767603874206543,0.10272148251533508,0.6921768188476562,0.004508229438215494,0.00488281762227416,nan,nan,nan,nan
35,0.0056579746305942535,2.966791158542037,0.0,0.0005010515451431274,2.96729221008718,0.6935893893241882,0.043461792171001434,0.6943179368972778,0.003493347903713584,0.004888573661446571,nan,nan,nan,nan
36,0.0025745683815330267,2.954167081043124,0.0,0.0005408655852079391,2.954707946628332,0.6855273842811584,0.04384217411279678,0.6906283497810364,0.001191314309835434,0.004870958626270294,nan,nan,nan,nan
37,0.0017165987519547343,3.008417086675763,0.0,0.0004577450454235077,3.0088748317211866,0.6841151118278503,0.04440588876605034,0.6943165063858032,0.002276788931339979,0.0048675318248569965,nan,nan,nan,nan
38,0.0025315505918115377,2.955041127279401,0.0,0.0004176981747150421,2.955458825454116,0.6848440170288086,0.044008076190948486,0.6881372928619385,0.0012878646375611424,0.004868917167186737,nan,nan,nan,nan
39,0.0018425005255267024,3.1020829919725657,0.0,0.0006670597940683365,3.102750051766634,0.682054340839386,0.0435352548956871,0.6946942210197449,0.003201048821210861,0.004871399141848087,nan,nan,nan,nan
40,0.8617070913314819,2.9913748148828745,0.0,0.0004591420292854309,2.99183395691216,1.9871559143066406,0.5644150972366333,1.213763952255249,0.059578560292720795,0.005144346505403519,nan,nan,nan,nan
41,0.26627081632614136,2.9404170345515013,0.0,0.000416068360209465,2.9408331029117107,1.2193328142166138,0.16339650750160217,0.8957287669181824,0.046426981687545776,0.004852243699133396,nan,nan,nan,nan
42,0.0762840136885643,3.0812921468168497,0.0,0.00041583552956581116,3.0817079823464155,0.9124146103858948,0.11109055578708649,0.7745953798294067,0.04082515835762024,0.004858149215579033,nan,nan,nan,nan
